,text,likes
59,jisoo tears camouflage with rain is the best thing to express jisoo in daily life.. she rarely show it to public  when she's crying because they really need unnie/big sister who always in positive thinking when situation really get hard for them,4
60,"Blackpink: We were born to be alone
Introvert be like: 100% Accurate",477
61,"This is so inspiring to me. Its got everything  we want. Jennie rap, Lisa rap, more lines for jisoo, rose's honey  sweet voice. Its perfect!☆♡",4
62,Firstly i listned that song in pubg and then pubg recommended me this song 😗😗😗😗😗,7
63,"Missing Jennie's nurse outfit, btw i'm still support this mv.",4
64,Stream how you like that blinks,9
65,"“We were born to be alone but why we still looking for love”

Me: gorlllll i question that to myself everyday",6.1K
66,Go to HYLT and stream that music video! Each day the gap is decreasing and it's very frustrating : / The dance video of hylt wasn't that important compare to its music video hays.,6
67,Fact : How You Like That and Lovesick Girls is added in Pubg,2
68,how many people will not leave BLACKPINK ever?,1
69,vote blackpink on MAMA blinks!!,4
70,"Jisoo-Main visual
Jennie-Main rapper
Rose-Main vocalist
Lisa-Main Dancer",479
71,"4 singers
4 rappers
4 dancers
4 visuals",4
72,"1:40
Woah, I can't imagine how tall rose will look if she stands in that shoes",5
73,"Stream HYLT, VOTE ON MAMA AND AAA. FIGHTING BLINKS! DO IT FOR THE GIRLS!",7
74,I VOICE TO BLACKPINK JENNIE ANTI COMMENTS YOU ARE STRONG I TRUST.,1
75,"""We are the lovesick girlllss""
It stuck in my head",542
76,لآ تَـستَهِزء ب ألجِـن و أنَـت فِـي مُـنتَصف أللـيِل لِكي تُخـفُف مِـن خَـوفَك مِـنھ فَهُـو خَـلفَك يَـتنَهد علَـى حآلتك الـمُضحكة بالـنِسبَه لهـ,5
77,"Rose: Everyone eventually leaves 
So true so live on your own",4
78,230M NEXT!! BLINKS DON'T FORGET TO STR3AM HARDER ON HYLT ;P,4
79,Blackpink : Artist Of The Year 😤,3
80,"Eng
Teume here;')

Ind :",4
81,في نباح كثير يوم. (-(-_(--)_-) ,7
82,"JISOO: You pity me, but I pity you more for pitying me",1
83,"keep it up, BLINKS! we could get 2 million views per day if we keep streaming this fast.

also stream HYLT",6
84,"""Yeah we were born to be alone
But why we still looking for love""
Every Kpop IDOL can relate! 
Well done BlackPink! Loved the song!",264
85,did anyone see the lisa sign instead of visa if so like this comment,4
86,"Jennie =sexy + rap
Jishoo= goddess
Lisa =beutifull  + great dance 
Rose = pretty + sweet voice",1
87,Fact: BLACKPINK doesn't need AOTY and SOTY. AOTY and SOTY needs BLACKPINK,4
88,Those dislikes are from the no sick girls,4
89,"LET'S THANK YG FOR GIVING BLACKPINK WHAT THEY DESERVE.
BLINK'S JOBIS TO GIVE BP WHAT THEY DESERVE TOO.
ROAD TO 60M!",266
90,Jennie Kim is really good,4
91,BLACK PINCK É MUITO LEGAL POR FAVOR CONHEÇAM DREAMCATCHER É A INOVAÇÃO DO KPOP DE VERDADE,1
92,Assista no RELEASED para filmagens nunca antes vistas antes do lançamento de nosso novo videoclipe. Defina um lembrete →yt.be/releasedblackpink,2
93,"OK ALBUM OF THE YEAR GOES TO BLACKPINK no one can get it. blackpink nailed it,collaboration with pop singer like Selena Gomez and cardiB",4
94,"This is What You Call A BLACKPINK Song !! 
So Proud Of My Girls !",680
95,بنات ترا في ناس محروقه هدو عليهم,10
96,I love you 💕 Black pink 💘 I love you so much 😭I love you ❤️💟,7
97,AMO BLACKPINK ATENÇÃO GENTE POR FAVOR VOCÊS PRECISAM CONHECER DREAMCATCHER ESSE GRUPO É TOTALMENTE DIFERENTE INOVADOR E CRIATIVO DO KPOP.,13
98,لَآ..تُوُجَدُكَلَمِـهِ مِـسًـتُحًـيّلَ.آلَا فُيّ..قَآمِـوُسً..آلَضـعَـفُآء،،،,4
99,"This was the Jisoo’s, Lisa’s, Jennie’s ,Rose’s ERA not anyone’s in particular and this is what I like the most about this song.",640
100,"It's amazing to know that they are shooting this in a real place, not just in greenscreen, seems like YG aint fun of greenscreen hahaha",3
101,"""You pity me, but I pity you more for pitying me"" - Jisoo✨

The lyrics hits different!😭",352
102,Why does this song give me goosebumps,4
103,"They were born to be perfect
They were born to be perfect
And we were born to be blinks",3
104,Let's bring this song to 300M views,3
105,"My parents: Stop being alone anymore! Goes hang out somewhere and with your friends
Me and my brain: But we were born to be alone!~ 01:09",4
106,"To all the singles out there.. 

""We are born to be alone""
""But we're still looking for love""",701
107,Who wants Love To Hate Me MV ?,4
108,I never listen to K-POP but i like this song 😂,4
109,Oh hey don't mind me repeating this all day long ;),4
110,"حالياً..........
عدد الهيترز اكثر من البلينكز..
البلينكز ماكو.؟ ليش تكاسلتوا.!
بالله عليكم الاغنيه صارله اكثر من شهر وماوصلت٣٠٠m واحنا كل الفندومات تجي تهجم علينا .؟ احنا علينا اكثر هجوم....بس ليش كذا ليش!!",4
111,"""We are the lovesick girls, you can't just end this love on your own""

""We are the lovesick girls, we are nothing without this pain""",414
112,في قمة اليأس ينبت الأمل ,3
113,"views: 231 mil+

subs: 52.7 mil+

likes: 10 mil+

dislikes: 200k+",4
114,Is there any ARMY ONCE streaming with blink?👀 Cause i am :D,4
115,"Negative days , Negative nights
Baby you're wasting all your time
      - to the haters",6
116,This needs 1 billion views please.,263
117,Blinks please stream also How you like that MV. Lets help blackpink win the Song of the year this coming MAMA❤️,6
118,"Blackpink : Yeah we were born to be alone.

 Blinks : No , you girls aren't born to be alone , we are here for you.",2
119,PLEASE BLINKS STR3AM HYLT WE NEED TO REACH 700M TO WIN MAMA AND WE ARE LOOSING KEEP STR3AM1NG HARD PLS PLS,2
120,"BTS :- I'm so sick of this fake love...💜
Black pink :- we are the lovesick girls...🖤💗",4
121,"Jennie rap part is soo Iconic I don't why people always found anything to hate on Blackpink especially Jennie!!! 
I hope they will not cut the scene!!",257
122,"“Don’t consider yourself a blink if you hate one of us”
                        ~Chaeyoung Park~",2
123,Eww Armyblink are literally the most trash multis only obsessed over blackpink and throwing under the bus when they get hated💀😅😅,
124,"Che me gustó no pensé que me gustaria like, están muy lindas",3
125,"Blinks should we still vote for LSG on mubeat? Because Beats will expire, even if we save it for Rosé’s solo, we are not sure when it is going come out.",1
126,YOUTUBE ARE DELETING OUR VIEWS! WHERE R U AT BLINKS? LET'S STREAM HARDER! STREAM OTHER 2-3 SONGS IN BETWEEN,295
127,"i am not even a blink, but this song just hit differently. maybe because i am heartbroken after a relationship that was so important to me, but every time i hear this song i just start crying. especially on Rose's parts. she is so emotionally expressive with her voice here.",3
128,Jisoo’s outfit in the second prechorus gives me a little bit of Victor Pascow vibes ~,
129,"أيّاك أن تيأسِ مِن إصلاح نفسِك .
𝑁𝐸𝑉𝐸𝑅 𝐺𝐸𝑇 𝑇𝐼𝑅𝐸𝐷 𝑂𝐹 𝐹𝐼𝑋𝐼𝑁𝐺 𝑌𝑂𝑈𝑅𝑆𝐸𝐿𝐹",3
130,ما شاء الله ما شاء الله الدسلايكات ١٩٩ الف واااااو اليوتيوب حاذف نص تعب الهيترز يا حراااام راحت الحسابات عبث.,4
131,"I hope she's okay. She don't deserved this. She's been so strong.. and always shows the happy side of her for blinks. All these haters must learn to put themselves in her shoes.. she deserved so much better.
Real blinks, OG blinks are always by your side Jennie.. stay strong💖",262
132,Blinks stream hylt.SOTY we can do it.,6
