형태소,품사,분류,카운트
CATEGORIES,Alpha,-GO VOTE BLACKPINK IN ALL CATEGORIES THAT HAVE BLACKPINK IN IT,2
CHAT,Alpha,SHOW CHAT REPLAY,1
CHOOSE,Alpha,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",1
CHOOSE,Alpha,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",1
COME,Alpha,Blackpink: HERE I COME KICKN THE DOOR,1
COME,Alpha,"Blackpink: HERE I COME KICKN THE DOOR""",1
Can,Alpha,Can we do blinks?,1
Can,Alpha,"Can we do blinks?""",1
Ceperiano,Alpha,Josephine Ceperiano,1
Cherry,Alpha,Cherry L,2
Coach,Alpha,Vocal Coach Reacts to BLACKPINK – Lovesick Girls,1
Comments,Alpha,"1,664,551 Comments",1
Corea,Alpha,"10,""Blinks !!!! Vallan a votar por BLACKPINK en MWAVE para los premios más importantes de Corea , estan nominadas en 5 categorías , y solo vamos ganando en 2 categorías , tenemos hasta diciembre para votar , vamos blinks , hay que traer esos premios a casa !!! Vamos blinks !!!!""",1
Corea,Alpha,"Blinks !!!! Vallan a votar por BLACKPINK en MWAVE para los premios más importantes de Corea , estan nominadas en 5 categorías , y solo vamos ganando en 2 categorías , tenemos hasta diciembre para votar , vamos blinks , hay que traer esos premios a casa !!! Vamos blinks !!!!",1
Cream,Alpha,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,1
Cream,Alpha,Ice Cream : PINK,2
Creo,Alpha,"17,Creo que hablo por todos diciendo que extrañamos a la Jennie enfermera qwq",1
Creo,Alpha,Creo que hablo por todos diciendo que extrañamos a la Jennie enfermera qwq,1
DANCE,Alpha,BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO,1
DANCE,Alpha,BLACKPINK - 'Lovesick Girls' DANCE PRACTICE VIDEO,1
DDDD,Alpha,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)",1
DDDD,Alpha,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)""",1
DESERVE,Alpha,"15,VOTE BLACKPINK ON MAMA2020 BECAUSE THEY DESERVE TO WIN WE CAN DO IT BLINKS",1
DESERVE,Alpha,VOTE BLACKPINK ON MAMA2020 BECAUSE THEY DESERVE TO WIN WE CAN DO IT BLINKS,1
DIOSAS,Alpha,"61,LAS BLACKPINK SIEMPRE HACEN ARTES SON ALTAS DIOSAS",1
DIOSAS,Alpha,LAS BLACKPINK SIEMPRE HACEN ARTES SON ALTAS DIOSAS,1
DO,Alpha,"-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT",1
DO,Alpha,"-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT""",1
DO,Alpha,"15,VOTE BLACKPINK ON MAMA2020 BECAUSE THEY DESERVE TO WIN WE CAN DO IT BLINKS",1
DO,Alpha,VOTE BLACKPINK ON MAMA2020 BECAUSE THEY DESERVE TO WIN WE CAN DO IT BLINKS,1
DON,Alpha,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",1
DON,Alpha,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",1
DONT,Alpha,"-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT",1
DONT,Alpha,"-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT""",1
DOOR,Alpha,Blackpink: HERE I COME KICKN THE DOOR,1
DOOR,Alpha,"Blackpink: HERE I COME KICKN THE DOOR""",1
Dad,Alpha,"38,my Dad said they’re gorgeous and that Rose is cute",1
Dad,Alpha,my Dad said they’re gorgeous and that Rose is cute,1
Dankworth,Alpha,Adam Dankworth,1
Davi,Alpha,Davi Juan,1
December,Alpha,HYLT is predicted to lose its tittle as most viewed K-pop MV of 2020 in December (or even sooner),2
Didn,Alpha,"Didn’t wanna be a princess, I’m priceless",2
Dominguez,Alpha,ɞ Melanie Thiddara Muñoz Dominguez ɞ,1
Don,Alpha,"22,""Blinks if you want blackpink to attend award show then vote for them on all the voting platform- like choeaedol,  idol champ , mwave etc. Don't be lazy Pinks didn't raise lazy fandom ",1
Don,Alpha,"57,Don't forget to vote them in MAMA in all the categories they are in included. I truly believe that they deserve to win Artist or Song of the Year.",1
Don,Alpha,"Blinks if you want blackpink to attend award show then vote for them on all the voting platform- like choeaedol,  idol champ , mwave etc. Don't be lazy Pinks didn't raise lazy fandom ",1
Don,Alpha,Don't depend on others,2
Don,Alpha,Don't forget to vote them in MAMA in all the categories they are in included. I truly believe that they deserve to win Artist or Song of the Year.,1
Don,Alpha,Jennie: With loren-Don't doctor help me when i am lovesick .,1
Don,Alpha,"Jennie: With loren-Don't doctor help me when i am lovesick .""",1
Dont,Alpha,"42,Dont tell me everyone forget about jennie's issue here. She didnt deserve any hate or sexual things when the haters are the one who is sexualizing jennie. Jennie doesn't deserve any hate smh. Yall just mad shes better than y'all. dont waste time hating jennie start taking care of yourself and know that hating is a bad thing. Yall should grow up",1
Dont,Alpha,Dont tell me everyone forget about jennie's issue here. She didnt deserve any hate or sexual things when the haters are the one who is sexualizing jennie. Jennie doesn't deserve any hate smh. Yall just mad shes better than y'all. dont waste time hating jennie start taking care of yourself and know that hating is a bad thing. Yall should grow up,1
Dynamite,Alpha,BTS (방탄소년단) 'Dynamite' Official MV,1
EL,Alpha,"Pasarán los segundos, minutos, horas, días, años pero yo NUNCA OLVIDARÉ TREMENDA CANCIÓN LA PTMR MARGE NECESITO MAYÚSCULAS MÁS GRANDES PARA EXPRESAR TODO EL AMOR POR ESTA BELLA CANCIÓNNNN",1
ESTA,Alpha,"Pasarán los segundos, minutos, horas, días, años pero yo NUNCA OLVIDARÉ TREMENDA CANCIÓN LA PTMR MARGE NECESITO MAYÚSCULAS MÁS GRANDES PARA EXPRESAR TODO EL AMOR POR ESTA BELLA CANCIÓNNNN",1
EXPRESAR,Alpha,"Pasarán los segundos, minutos, horas, días, años pero yo NUNCA OLVIDARÉ TREMENDA CANCIÓN LA PTMR MARGE NECESITO MAYÚSCULAS MÁS GRANDES PARA EXPRESAR TODO EL AMOR POR ESTA BELLA CANCIÓNNNN",1
Elizabeth,Alpha,Elizabeth Parreño,1
Ellysa,Alpha,Ellysa Hernandez,1
English,Alpha,"43,""Guys English isn’t my native language, can you tell me how to pronounce this song? I’ve been pronouncing it soty""",1
English,Alpha,"Guys English isn’t my native language, can you tell me how to pronounce this song? I’ve been pronouncing it soty",1
Entertainment,Alpha,JYP Entertainment,4
Everyone,Alpha,"16,""Everyone: """"This is the worst year ever""""",1
Everyone,Alpha,"20,""Everyone: """"This is the worst year ever""""",1
Everyone,Alpha,"5,""Everyone: """"This is the worst year ever""""",1
Everyone,Alpha,"Everyone: """"This is the worst year ever""""",3
Everyone,Alpha,"STREAM 🙌 Everyone can help, together we are strong. Blinks fighting!",1
Everyone,Alpha,"STREAM 🙌 Everyone can help, together we are strong. Blinks fighting!""",1
FACTS,Alpha,"12,""Jennie no sexualizo , la sexualizaron que es otra cosa diferente , FACTS""",1
FACTS,Alpha,"Jennie no sexualizo , la sexualizaron que es otra cosa diferente , FACTS",1
FANS,Alpha,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",1
FANS,Alpha,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",1
FOR,Alpha,STAN BLACKPINK FOR A BETTER LIFE. VOTE FOR THEM (MAMA 2020),4
FOR,Alpha,"STAN BLACKPINK FOR A BETTER LIFE. VOTE FOR THEM (MAMA 2020)""",4
FOR,Alpha,STAN BLACKPINK FOR BETTER LIFE!,1
FOR,Alpha,"STAN BLACKPINK FOR BETTER LIFE!""",1
FOREVER,Alpha,Kpop & Toca Boca FOREVER!,1
FTW,Alpha,Multifandom FTW,1
Famosinhos,Alpha,Famosinhos Teen,1
Feel,Alpha,"TWICE """"Feel Special"""" M/V",1
Franky,Alpha,Franky Hathaway,1
GIRLS,Alpha,LOVESICK GIRLS : BLACKPINK !,1
GIRLS,Alpha,"LOVESICK GIRLS : BLACKPINK !""",1
GO,Alpha,-GO VOTE BLACKPINK IN ALL CATEGORIES THAT HAVE BLACKPINK IN IT,2
GO,Alpha,"54,JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO",1
GO,Alpha,JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO,1
GOOGLE,Alpha,"54,JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO",1
GOOGLE,Alpha,JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO,1
GRANDES,Alpha,"Pasarán los segundos, minutos, horas, días, años pero yo NUNCA OLVIDARÉ TREMENDA CANCIÓN LA PTMR MARGE NECESITO MAYÚSCULAS MÁS GRANDES PARA EXPRESAR TODO EL AMOR POR ESTA BELLA CANCIÓNNNN",1
Gangnam,Alpha,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)",1
Gangnam,Alpha,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)""",1
Gentlemen,Alpha,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)",1
Gentlemen,Alpha,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)""",1
Giralph,Alpha,Giralph Nikko Pescueso,1
Girls,Alpha,"2,""BLACKPINK – ‘Lovesick Girls’",1
Girls,Alpha,BLACKPINK - 'Lovesick Girls' DANCE PRACTICE VIDEO,1
Girls,Alpha,BLACKPINK - 'Lovesick Girls' Jimmy Kimmel Live,1
Girls,Alpha,BLACKPINK - 'Lovesick Girls' M/V,1
Girls,Alpha,BLACKPINK – ‘Lovesick Girls’,1
Girls,Alpha,BLACKPINK – ‘Lovesick Girls’ M/V,1
Girls,Alpha,Mix - BLACKPINK – ‘Lovesick Girls’ M/V,1
Girls,Alpha,Vocal Coach Reacts to BLACKPINK – Lovesick Girls,1
Goals,Alpha,"37,""Goals:",1
Goals,Alpha,Goals:,1
Gomez,Alpha,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,1
Gonzales,Alpha,Angela Gonzales,1
Great,Alpha,Yadom The Great,1
Guys,Alpha,"43,""Guys English isn’t my native language, can you tell me how to pronounce this song? I’ve been pronouncing it soty""",1
Guys,Alpha,"7,Guys pls dont' foget vote BLACKPINK in MAMA 2020.",1
Guys,Alpha,"Guys English isn’t my native language, can you tell me how to pronounce this song? I’ve been pronouncing it soty",1
Guys,Alpha,Guys pls dont' foget vote BLACKPINK in MAMA 2020.,1
H,Alpha,Rosé: “H-he brought the wrong type of pink!!!”,1
H,Alpha,"Rosé: “H-he brought the wrong type of pink!!!”""",1
HACEN,Alpha,"61,LAS BLACKPINK SIEMPRE HACEN ARTES SON ALTAS DIOSAS",1
HACEN,Alpha,LAS BLACKPINK SIEMPRE HACEN ARTES SON ALTAS DIOSAS,1
HAVE,Alpha,-GO VOTE BLACKPINK IN ALL CATEGORIES THAT HAVE BLACKPINK IN IT,2
HERE,Alpha,Blackpink: HERE I COME KICKN THE DOOR,1
HERE,Alpha,"Blackpink: HERE I COME KICKN THE DOOR""",1
HIP,Alpha,[MV] 마마무(MAMAMOO) - HIP,1
HYLT,Alpha,HYLT is predicted to lose its tittle as most viewed K-pop MV of 2020 in December (or even sooner),2
Hangyul,Alpha,X1 Hangyul,1
Hate,Alpha,Love To Hate Me,1
Hate,Alpha,•Love To Hate Me is a diss to OT1/2/3 Stans,1
Haters,Alpha,"44,""Haters: I hate BLACKPINK",1
Haters,Alpha,Haters: I hate BLACKPINK,1
Hathaway,Alpha,Franky Hathaway,1
Hernandez,Alpha,Ellysa Hernandez,1
Hit,Alpha,Big Hit Labels,1
How,Alpha,"23,""How you like that : BLACK",1
How,Alpha,BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO,1
How,Alpha,How you like that : BLACK,1
How,Alpha,•How you like that is about their success and karma hitting haters,1
Hunter,Alpha,Hunter,1
I,Alpha,"-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT",1
I,Alpha,"-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT""",1
I,Alpha,"11,""Lisa: With loren - I am soooo sad ",1
I,Alpha,"30,""I wish when Blackpink comeback again, please makes Rosé with her black hair:(""",1
I,Alpha,"36,""“I’ve become numb to crying” ",1
I,Alpha,"43,""Guys English isn’t my native language, can you tell me how to pronounce this song? I’ve been pronouncing it soty""",1
I,Alpha,"44,""Haters: I hate BLACKPINK",1
I,Alpha,"48,""I'm not blink, but I'm not sure after seeing this song!""",2
I,Alpha,"49,this is actually the most beautiful song of blackpink. Not my favorite or the coolest or the sadest or the song I like dancing on the most but idk the most touching. And everytime I watch it even more moved the MV is so beautiful omg",2
I,Alpha,"57,Don't forget to vote them in MAMA in all the categories they are in included. I truly believe that they deserve to win Artist or Song of the Year.",1
I,Alpha,Blackpink: HERE I COME KICKN THE DOOR,1
I,Alpha,"Blackpink: HERE I COME KICKN THE DOOR""",1
I,Alpha,But I don’t care I’ll do it over and over,4
I,Alpha,"Didn’t wanna be a princess, I’m priceless",2
I,Alpha,Don't forget to vote them in MAMA in all the categories they are in included. I truly believe that they deserve to win Artist or Song of the Year.,1
I,Alpha,"Guys English isn’t my native language, can you tell me how to pronounce this song? I’ve been pronouncing it soty",1
I,Alpha,Haters: I hate BLACKPINK,1
I,Alpha,"I wish when Blackpink comeback again, please makes Rosé with her black hair:(",1
I,Alpha,"I'm not blink, but I'm not sure after seeing this song!",2
I,Alpha,Jisoo : I'm Jisoo I'm ok,2
I,Alpha,"Jisoo : I'm Jisoo I'm ok""",2
I,Alpha,"Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in",3
I,Alpha,"Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in""",3
I,Alpha,Lisa: With loren - I am soooo sad ,1
I,Alpha,Love is a drug that I quit,2
I,Alpha,No doctor could help when I’m lovesick,2
I,Alpha,Rose: With loren -I am fighting with him,2
I,Alpha,"TWICE """"I CAN'T STOP ME"""" M/V",1
I,Alpha,this is actually the most beautiful song of blackpink. Not my favorite or the coolest or the sadest or the song I like dancing on the most but idk the most touching. And everytime I watch it even more moved the MV is so beautiful omg,2
I,Alpha,“I’ve become numb to crying” ,1
IF,Alpha,BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,1
IN,Alpha,-GO VOTE BLACKPINK IN ALL CATEGORIES THAT HAVE BLACKPINK IN IT,4
IN,Alpha,"13,""In lovesick girls  ,  are you notice that they was not say      (  BLACK PINK IN YOUR AREA )""",1
IN,Alpha,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",1
IN,Alpha,"6,BRASILEIROS IN YOUR AREAAAA",1
IN,Alpha,BRASILEIROS IN YOUR AREAAAA,1
IN,Alpha,"In lovesick girls  ,  are you notice that they was not say      (  BLACK PINK IN YOUR AREA )",1
IN,Alpha,SIGN IN,1
IN,Alpha,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",1
IS,Alpha,"35,VOTE AT MAMA BLINKS! BLACKPINK IS NOMINATED. THEY MIGHT PERFORM THERE.",1
IS,Alpha,"47,THE PART OF JISOO IS ART-",1
IS,Alpha,"54,JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO",1
IS,Alpha,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",1
IS,Alpha,JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO,1
IS,Alpha,THE PART OF JISOO IS ART-,1
IS,Alpha,VOTE AT MAMA BLINKS! BLACKPINK IS NOMINATED. THEY MIGHT PERFORM THERE.,1
IS,Alpha,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",1
IT,Alpha,"-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT",1
IT,Alpha,"-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT""",1
IT,Alpha,-GO VOTE BLACKPINK IN ALL CATEGORIES THAT HAVE BLACKPINK IN IT,2
IT,Alpha,"15,VOTE BLACKPINK ON MAMA2020 BECAUSE THEY DESERVE TO WIN WE CAN DO IT BLINKS",1
IT,Alpha,BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,1
IT,Alpha,VOTE BLACKPINK ON MAMA2020 BECAUSE THEY DESERVE TO WIN WE CAN DO IT BLINKS,1
ITZY,Alpha,ITZY “Not Shy” M/V,1
Ice,Alpha,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,1
Ice,Alpha,Ice Cream : PINK,2
In,Alpha,"13,""In lovesick girls  ,  are you notice that they was not say      (  BLACK PINK IN YOUR AREA )""",1
In,Alpha,"34,""In this era everybody shines, Not only one""",1
In,Alpha,"In lovesick girls  ,  are you notice that they was not say      (  BLACK PINK IN YOUR AREA )",1
In,Alpha,"In this era everybody shines, Not only one",1
Inkigayo,Alpha,BLACKPINK - ‘Pretty Savage’ 1011 SBS Inkigayo,1
It,Alpha,"It doesn't matter if pikks attend or not , that award will be added to their awards list",1
It,Alpha,"It doesn't matter if pikks attend or not , that award will be added to their awards list""",1
JENNIE,Alpha,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",2
JENNIE,Alpha,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",2
JISOO,Alpha,"47,THE PART OF JISOO IS ART-",1
JISOO,Alpha,"54,JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO",1
JISOO,Alpha,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",2
JISOO,Alpha,JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO,1
JISOO,Alpha,THE PART OF JISOO IS ART-,1
JISOO,Alpha,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",2
JOSHI,Alpha,UDITI JOSHI,1
JYP,Alpha,JYP Entertainment,4
Jennie,Alpha,"12,""Jennie no sexualizo , la sexualizaron que es otra cosa diferente , FACTS""",1
Jennie,Alpha,"17,Creo que hablo por todos diciendo que extrañamos a la Jennie enfermera qwq",1
Jennie,Alpha,2. Jennie,1
Jennie,Alpha,"24,""Popular opinion: Jennie did nothing wrong, haters knew this song was ABSOLUTELY PERFECT, but they had to find something to nitpick about, and the reason they picked was absolutely meaningless.""",1
Jennie,Alpha,"28,When you realise they all died in the mv Jennie died cause of an car accident Lisa jumped from a rooftop Rosé drowned in the bathtub and jisoo drowned in the pool",1
Jennie,Alpha,"42,Dont tell me everyone forget about jennie's issue here. She didnt deserve any hate or sexual things when the haters are the one who is sexualizing jennie. Jennie doesn't deserve any hate smh. Yall just mad shes better than y'all. dont waste time hating jennie start taking care of yourself and know that hating is a bad thing. Yall should grow up",1
Jennie,Alpha,"53,""Jennie: “A prince not even on my list”",1
Jennie,Alpha,"8,""Jennie : with Loren",1
Jennie,Alpha,Creo que hablo por todos diciendo que extrañamos a la Jennie enfermera qwq,1
Jennie,Alpha,Dont tell me everyone forget about jennie's issue here. She didnt deserve any hate or sexual things when the haters are the one who is sexualizing jennie. Jennie doesn't deserve any hate smh. Yall just mad shes better than y'all. dont waste time hating jennie start taking care of yourself and know that hating is a bad thing. Yall should grow up,1
Jennie,Alpha,"Jennie : The most attractive one, charming face",2
Jennie,Alpha,Jennie : with Loren,1
Jennie,Alpha,Jennie : with a boy,2
Jennie,Alpha,"Jennie no sexualizo , la sexualizaron que es otra cosa diferente , FACTS",1
Jennie,Alpha,Jennie: With loren-Don't doctor help me when i am lovesick .,1
Jennie,Alpha,"Jennie: With loren-Don't doctor help me when i am lovesick .""",1
Jennie,Alpha,Jennie: “A prince not even on my list”,1
Jennie,Alpha,"Popular opinion: Jennie did nothing wrong, haters knew this song was ABSOLUTELY PERFECT, but they had to find something to nitpick about, and the reason they picked was absolutely meaningless.",1
Jennie,Alpha,When you realise they all died in the mv Jennie died cause of an car accident Lisa jumped from a rooftop Rosé drowned in the bathtub and jisoo drowned in the pool,1
Jeon,Alpha,dCymccc Jeon,1
Jimmy,Alpha,BLACKPINK - 'Lovesick Girls' Jimmy Kimmel Live,1
Jisoo,Alpha,Jisoo : I'm Jisoo I'm ok,2
Jisoo,Alpha,"Jisoo : I'm Jisoo I'm ok""",2
Jisoo,Alpha,"Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in",2
Jisoo,Alpha,"Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in""",2
Jisoo,Alpha,"Jisoo: The most beautiful one, the visual",2
Jisoo,Alpha,Jisoo: that's a pity,1
Jisoo,Alpha,"Jisoo: that's a pity""",1
Josephine,Alpha,Josephine Ceperiano,1
Juan,Alpha,Davi Juan,1
Jung,Alpha,"Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in",1
Jung,Alpha,"Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in""",1
Justin,Alpha,Justin X.,1
K,Alpha,1.3K,2
K,Alpha,193K,1
K,Alpha,2.2K,1
K,Alpha,2K,1
K,Alpha,3.1K,1
K,Alpha,3.5K,1
K,Alpha,364K views,1
K,Alpha,441K,1
K,Alpha,5.3K,1
K,Alpha,HYLT is predicted to lose its tittle as most viewed K-pop MV of 2020 in December (or even sooner),2
K,Alpha,K-pop Smasher,1
