형태소,품사,분류,카운트
#,Punctuation,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",4
#,Punctuation,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",4
#1stFULLALBUM,Hashtag,#BLACKPINK #블랙핑크 #1stFULLALBUM,1
#BLACKPINK,Hashtag,#BLACKPINK #블랙핑크 #1stFULLALBUM,1
#블랙핑크,Hashtag,#BLACKPINK #블랙핑크 #1stFULLALBUM,1
$15.00,Number,$15.00,1
$35.00,Number,$35.00,2
$40.00,Number,$40.00,1
$45.00,Number,$45.00,1
$65.00,Number,$65.00,1
&,Punctuation,Kpop & Toca Boca FOREVER!,1
&,Punctuation,"TWICE """"MORE & MORE"""" M/V",1
',Punctuation,-MAMA's VOTING ALREADY BEGIN,2
',Punctuation,"22,""Blinks if you want blackpink to attend award show then vote for them on all the voting platform- like choeaedol,  idol champ , mwave etc. Don't be lazy Pinks didn't raise lazy fandom ",2
',Punctuation,"25,""BLACKPINK isn't just a group, they're an artistic reconstruction, the breeze you respire, a motive for existence, a moment for history books, a body of finest craftsmanship, a departure from this atrocious cosmos, and an embosom from a cherished one.""",2
